Timestamp,WIN,FL,SL,CL,STRAT,ES,EXIT,TF,ENTRY@PRICE,FEE,EXIT@PRICE,PNL,DYN
2025-07-07T07:12:23.621262+00:00,5min,0.173,0.17048024615384616,0.16984400000000008,BBands,uptrend_swap,,5min,5.7803@0.173,0.0029999757,,,0.01478032735757516089279994695
2025-07-07T07:12:24.058544+00:00,5min,0.17205,0.17223396923076925,0.17169759999999998,BBands,,downtrend_swap,5min,5.7803@0.173,0.0029999757+0.0029420550000000003,5.7@0.17205,-0.025248930700000005,0.001068135580866496510366803718
2025-07-07T07:12:26.492767+00:00,5min,0.17228,0.17141775384615385,0.171684,BBands,uptrend_swap,,5min,5.8045@0.17228,0.00299999778,,,0.005030086642133984931681821977
2025-07-07T07:12:26.899773+00:00,5min,0.17418,0.1745065846153846,0.17390160000000002,BBands,,downtrend_swap,5min,5.8045@0.17228,0.00299999778+0.003030732,5.8@0.17418,0.0042140102199998974,0.001871474455272836243999296766
2025-07-07T07:15:48.213935+00:00,5min,0.17295,0.1728319692307692,0.1727896,BBands,uptrend_swap,,5min,5.7820@0.17295,0.0029999907,,,0.0006829220875982881163762771806
2025-07-07T07:16:06.179411+00:00,5min,0.17276,0.1728364,0.1727904,BBands,,downtrend_swap,5min,5.7820@0.17295,0.0029999907+0.002954196,5.7@0.17276,-0.021219086699999945,0.0004420365154562349134788736632
2025-07-07T07:20:48.284266+00:00,5min,0.17265,0.17261910769230768,0.1726496,BBands,uptrend_swap,,5min,5.7921@0.17265,0.0030000181950000002,,,0.0001789622719368085058388061104
2025-07-07T07:23:26.216611+00:00,5min,0.17281,0.17282846153846154,0.172756,BBands,,downtrend_swap,5min,5.7921@0.17265,0.0030000181950000002+0.002955051,5.7@0.17281,-0.020944134195000075,0.0001068200127293937509685458438
2025-07-07T07:23:48.198648+00:00,5min,0.17287,0.17284366153846153,0.1727768,BBands,uptrend_swap,,5min,5.7847@0.17287,0.003000003267,,,0.0001523831496280186758198678339
2025-07-07T07:23:56.334394+00:00,5min,0.17278,0.1728439076923077,0.17278280000000001,BBands,,downtrend_swap,5min,5.7847@0.17287,0.003000003267+0.002954538,5.7@0.17278,-0.021109630266999857,0.0003697422325203780854765788447
2025-07-07T07:24:28.212009+00:00,5min,0.17288,0.17285683076923078,0.17280920000000002,BBands,uptrend_swap,,5min,5.7844@0.17288,0.0030000212160000003,,,0.0001340371142182494384569408928
