Timestamp,WIN,FL,SL,CL,STRAT,ES,EXIT,TF,ENTRY@PRICE,FEE,EXIT@PRICE,PNL,DYN
2025-07-10T02:28:07.210611+00:00,5min,2747.01,2743.113353846154,2730.6644000000006,BBands,uptrend_swap,,5min,0.0018@2747.01,0.014833854,,,0.001420519552494053168126205004
2025-07-10T02:28:07.617122+00:00,5min,2746.44,2747.880123076923,2738.947199999999,BBands,,downtrend_swap,5min,0.0018@2747.01,0.014833854+0.014830776,0.00180000@2746.44,-0.030690630000000496,0.0005240851174069523994710685567
2025-07-10T02:28:10.051794+00:00,5min,2749.32,2746.798553846153,2748.5556,BBands,uptrend_swap,,5min,0.0018@2749.32,0.014846328000000002,,,0.0009179581627187011798098478322
2025-07-10T02:28:10.409863+00:00,5min,2745.89,2746.920738461539,2749.6272,BBands,,downtrend_swap,5min,0.0018@2749.32,0.014846328000000002+0.014827806,0.00180000@2745.89,-0.035848134000000975,0.0003752341474972019403052353066
2025-07-10T02:28:12.758182+00:00,5min,2754.23,2747.021538461538,2750.1807999999996,BBands,uptrend_swap,,5min,0.0018@2754.23,0.014872841999999999,,,0.002624100844327227020274968188
2025-07-10T02:28:13.235123+00:00,5min,2769.49,2774.3829846153844,2770.2748,BBands,,downtrend_swap,5min,0.0018@2754.23,0.014872841999999999+0.014955245999999998,0.00180000@2769.49,-0.0023600880000005375,0.001763629838604535540918762735
2025-07-10T02:28:15.683482+00:00,5min,2775.55,2767.3262461538457,2770.0972000000006,BBands,uptrend_swap,,5min,0.0018@2775.55,0.01498797,,,0.002971732681531150304927568381
2025-07-10T02:29:32.804004+00:00,5min,2785.79,2787.387292307693,2783.1171999999997,BBands,,downtrend_swap,5min,0.0018@2775.55,0.01498797+0.015043266,0.00180000@2785.79,-0.011599236000000346,0.0005730428319383608397079504007
2025-07-10T02:31:24.907195+00:00,5min,2788.8,2787.9304,2788.6936000000005,BBands,uptrend_swap,,5min,0.0018@2788.8,0.015059520000000002,,,0.0003119159646166202714386270188
2025-07-10T02:32:43.042286+00:00,5min,2786.58,2787.7806769230765,2788.0032000000006,BBands,,downtrend_swap,5min,0.0018@2788.8,0.015059520000000002+0.015047531999999999,0.00180000@2786.58,-0.034103052000000744,0.0004306927489007882213935259954
